code	store_name	location	product_ean
CN	Tianfu	Asia/Shanghai	3219884099674
MA	Azrou	Africa/Casablanca	4361569838852
PK	Jhol	Asia/Karachi	0943609752911
US	New City	America/Chicago	1160422163567
TN	Msaken	Africa/Tunis	8865331741532
IN	Bachhraon	Asia/Kolkata	3254773758959
PT	Custoias	Europe/Lisbon	6936433330046
JM	New Kingston	America/Jamaica	9974214524465
NG	Yenagoa	Africa/Lagos	4530055929729
CN	Wacheng	Asia/Shanghai	4405745831814
ES	Talavera de la Reina	Europe/Madrid	7157662151656
US	Kendall	America/New_York	1512784348104
LY	Ajdabiya	Africa/Tripoli	1809010399598
ID	Pekanbaru	Asia/Jakarta	4732487893405
MX	Zacoalco de Torres	America/Mexico_City	7504308653003
CN	Xiangtan	Asia/Shanghai	8771821680840
DE	Wittenau	Europe/Berlin	4085941887312
US	Toledo	America/New_York	0684065128659
IT	Castelfranco Emilia	Europe/Rome	6114841175927
TZ	Nyangao	Africa/Dar_es_Salaam	9774117422291
US	Rosedale	America/New_York	8616227462204
DE	Charlottenburg-Nord	Europe/Berlin	4608256639287
US	Morningside Heights	America/New_York	9435166400158
CO	Madrid	America/Bogota	3257308364694
CA	Dorval	America/Toronto	6930593710380
ID	Diwek	Asia/Jakarta	5887861373239
PG	Mount Hagen	Pacific/Port_Moresby	7032774314307
DZ	El Achir	Africa/Algiers	0007164490692
DE	Hofheim am Taunus	Europe/Berlin	1385729024162
EG	Juhaynah	Africa/Cairo	0655463187685
BE	Gembloux	Europe/Brussels	9835312802940
US	New City	America/Chicago	0400828088738
BR	Resplendor	America/Sao_Paulo	6548371180166
US	Newburgh	America/New_York	4450584924364
CN	Hushitai	Asia/Shanghai	2751444228427
GB	Strood	Europe/London	5906091056214
CN	Xiangtan	Asia/Shanghai	6565508387236
IN	Aistala	Asia/Kolkata	7588035012708
IT	Montecchio Maggiore-Alte Ceccato	Europe/Rome	2561712076717
MY	Ulu Tiram	Asia/Kuala_Lumpur	8006246281427
NL	Zeist	Europe/Amsterdam	8935395324030
RU	Yablonovskiy	Europe/Moscow	5007550899806
UA	Nova Kakhovka	Europe/Kiev	7092814875212
UA	Hlukhiv	Europe/Kiev	5932770719422
IT	Montecchio Maggiore-Alte Ceccato	Europe/Rome	5199455883964
RU	Bogoroditsk	Europe/Moscow	1084963659849
CN	Beidao	Asia/Shanghai	8902953616487
CN	Changzhi	Asia/Shanghai	5783163768530
ID	Wangon	Asia/Jakarta	3240246478622
RE	Saint-Denis	Indian/Reunion	3530611288667
NI	Somoto	America/Managua	5428733002118
CD	Kasangulu	Africa/Kinshasa	2098116584895
TZ	Iringa	Africa/Dar_es_Salaam	4962292008392
US	Keene	America/New_York	1404738052635
DE	Hofheim am Taunus	Europe/Berlin	6948246023671
RO	Sector 6	Europe/Bucharest	0998793823091
FR	Gonesse	Europe/Paris	3493811420285
LT	Ukmerge	Europe/Vilnius	4115510168921
LY	Ghat	Africa/Tripoli	0001048542927
US	Greenville	America/Chicago	1967104900539
US	Visitacion Valley	America/Los_Angeles	6076672622677
IT	Francavilla Fontana	Europe/Rome	4727320028878
CI	Bonoua	Africa/Abidjan	6391268174805
BJ	Tchaourou	Africa/Porto-Novo	3505807332394
US	Hutchinson	America/Chicago	8435327878643
CU	Boyeros	America/Havana	3508700886094
US	Dumont	America/New_York	9277453002467
US	Mechanicsville	America/New_York	5518258862820
IN	Deoli	Asia/Kolkata	2613640845559
CL	Ovalle	America/Santiago	1698214067750
DE	Neuburg an der Donau	Europe/Berlin	6112416948808
NG	Biu	Africa/Lagos	4819264832953
US	Abilene	America/Chicago	1975444867481
JP	Okegawa	Asia/Tokyo	0748596466625
TZ	Chanika	Africa/Dar_es_Salaam	9553735264854
US	Punta Gorda Isles	America/New_York	9438251388362
PH	Guyong	Asia/Manila	6952757026960
IN	Chharra	Asia/Kolkata	8338816004984
JM	New Kingston	America/Jamaica	8624550726917
US	Sunnyside	America/Los_Angeles	2882859488981
RU	Otradnyy	Europe/Samara	3965516083718
US	Aloha	America/Los_Angeles	2527045481574
CN	Meizhou	Asia/Shanghai	0070864928116
CN	Dongfeng	Asia/Shanghai	2520313231987
US	Jackson	America/Chicago	7746167733230
US	Norwalk	America/New_York	4147040219040
US	Aloha	America/Los_Angeles	7141658000172
CA	Norfolk County	America/Toronto	5691666114078
EC	Cuenca	America/Guayaquil	1250415619543
ES	Reus	Europe/Madrid	9495650652753
PA	Chilibre	America/Panama	1062438169260
TN	Siliana	Africa/Tunis	6431683431692
US	Brunswick	America/New_York	2859831844783
RU	Nikolayevsk-on-Amure	Asia/Vladivostok	6072557971533
SE	Boo	Europe/Stockholm	6360889662152
SL	Freetown	Africa/Freetown	1229759988684
ID	Pekanbaru	Asia/Jakarta	2411354436885
PK	Jhol	Asia/Karachi	5955467598117
GB	Bushey	Europe/London	2518012985560
BE	Rixensart	Europe/Brussels	3990389842568
CL	La Ligua	America/Santiago	7380541110394
IT	Afragola	Europe/Rome	8560515407449
CN	Taozhuang	Asia/Shanghai	9429100027570
IN	Diamond Harbour	Asia/Kolkata	3809463812956
IN	Leteri	Asia/Kolkata	1457688266447
MG	Antanifotsy	Indian/Antananarivo	9420167318298
IT	Cordenons	Europe/Rome	9963930827783
IN	Sirsi	Asia/Kolkata	2490987893234
FR	Colomiers	Europe/Paris	9289762852282
ID	Sukabumi	Asia/Jakarta	9189738574203
DE	Memmingen	Europe/Berlin	7076669992638
UA	Hlukhiv	Europe/Kiev	5762389574910
CN	Hoxtolgay	Asia/Urumqi	4625505811188
GB	Southsea	Europe/London	9741365605677
PK	Larkana	Asia/Karachi	8761328042722
US	Fort Washington	America/New_York	3225137474242
IN	Pandua	Asia/Kolkata	3860749163650
JP	Toyokawa	Asia/Tokyo	4011500404348
BR	Artur Nogueira	America/Sao_Paulo	9127171957764
BR	Iturama	America/Sao_Paulo	1904081986811
JP	Komono	Asia/Tokyo	7708639115357
BY	Dobrush	Europe/Minsk	6229627537049
JP	Fujioka	Asia/Tokyo	6206832677982
KZ	Kyzylorda	Asia/Qyzylorda	5845973654400
PL	Strzelce Opolskie	Europe/Warsaw	9893678213190
US	Indio	America/Los_Angeles	8917931187323
GB	Belper	Europe/London	3500139889240
FR	Saint-Omer	Europe/Paris	1037675608599
DE	Bensheim	Europe/Berlin	8143923763323
CM	Tonga	Africa/Douala	5206287518084
GB	Hartley	Europe/London	7120677960599
BR	Pedro II	America/Fortaleza	5569877893641
CA	Dorval	America/Toronto	7870803198203
IE	An Muileann gCearr	Europe/Dublin	6303917030462
LT	Alytus	Europe/Vilnius	4531687462158
KE	Lodwar	Africa/Nairobi	7697269365174
US	Kent	America/Los_Angeles	0758163643380
GH	Bibiani	Africa/Accra	7166958041526
GB	Rutherglen	Europe/London	0266657192622
DE	Stuttgart	Europe/Berlin	5875930562820
MX	Santa Rosa Jauregui	America/Mexico_City	0144348552224
AR	Esperanza	America/Argentina/Cordoba	8644654753435
DO	Santa Cruz de Barahona	America/Santo_Domingo	8332477613479
GB	Aberdeen	Europe/London	8473020535722
IN	Bhuban	Asia/Kolkata	7830793163964
MK	Saraj	Europe/Skopje	8304273367757
NG	Efon-Alaaye	Africa/Lagos	9614810274288
US	Visitacion Valley	America/Los_Angeles	8310605205703
TH	Bang Ban	Asia/Bangkok	4398125206770
RU	Solntsevo	Europe/Moscow	8109060270711
DE	Albstadt	Europe/Berlin	8019454964648
UA	Polohy	Europe/Zaporozhye	1390542033239
GB	Poulton-le-Fylde	Europe/London	6493002447685
JP	Toyokawa	Asia/Tokyo	1153524209196
DE	Eppingen	Europe/Berlin	4276540230801
IQ	Karbala	Asia/Baghdad	9760828500700
GB	Kingston upon Hull	Europe/London	2915095393419
PH	Guyong	Asia/Manila	2374168822346
US	Schererville	America/Chicago	7747153394268
US	Toledo	America/New_York	9838381624031
US	Rosedale	America/New_York	2052360216049
US	North Tustin	America/Los_Angeles	2759893923382
KR	Eisen	Asia/Seoul	6955768575205
IN	Betamcherla	Asia/Kolkata	4489561987108
FR	Gonesse	Europe/Paris	1070175884964
AR	Aguilares	America/Argentina/Tucuman	3638849240041
RU	Dyat’kovo	Europe/Moscow	2319894100832
UY	Durazno	America/Montevideo	6507786305779
BR	Alfenas	America/Sao_Paulo	3166498164604
BR	Guaraciaba do Norte	America/Fortaleza	3307468567241
DZ	Boumerdas	Africa/Algiers	1316437950856
UA	Nova Kakhovka	Europe/Kiev	8296565114265
RU	Novopavlovsk	Europe/Moscow	2632949723740
US	Grand Forks	America/Chicago	7212893081971
HK	Tsuen Wan	Asia/Hong_Kong	0863719471840
FI	Kallio	Europe/Helsinki	2760606331899
AU	Willetton	Australia/Perth	2143470280751
DE	Charlottenburg-Nord	Europe/Berlin	6235831856746
IN	Barpeta	Asia/Kolkata	5229915988585
US	North Tustin	America/Los_Angeles	6928874759456
US	Bourbonnais	America/Chicago	6704595023171
US	Granger	America/Indiana/Indianapolis	8508595533313
NL	Barneveld	Europe/Amsterdam	7717292777734
FR	Les Olives	Europe/Paris	1140795334450
GB	Barnet	Europe/London	9438016737688
IN	Leteri	Asia/Kolkata	8728434326658
US	Toledo	America/New_York	1674391170797
NG	Efon-Alaaye	Africa/Lagos	6435500494723
CD	Kasangulu	Africa/Kinshasa	6941604029988
ID	Diwek	Asia/Jakarta	6867557226260
DZ	Bordj Zemoura	Africa/Algiers	5099743370131
PH	Maasin	Asia/Manila	6951067252182
RU	Gavrilov-Yam	Europe/Moscow	8352298861811
VE	Barinas	America/Caracas	7044617579057
DE	Eppingen	Europe/Berlin	5563190310816
BE	Wevelgem	Europe/Brussels	5099416559351
IN	Calangute	Asia/Kolkata	7619274703468
CA	Sherwood Park	America/Edmonton	2072388058605
US	Bothell West	America/Los_Angeles	2158967209146
IN	Kangayam	Asia/Kolkata	4802982627925
DZ	Boumerdas	Africa/Algiers	6935192545975
US	Belle Glade	America/New_York	9446048433423
AR	Tandil	America/Argentina/Buenos_Aires	7071169638161
IT	Cordenons	Europe/Rome	9919143688666
CN	Shaowu	Asia/Shanghai	5950987426872
US	Newburgh	America/New_York	9829050946318
DE	Hermsdorf	Europe/Berlin	9343251517158
US	Collinwood	America/New_York	1615378852305
US	Canton	America/Detroit	8381532947424
US	Palm Valley	America/New_York	2410425286275
CO	Madrid	America/Bogota	5259842543694
FR	Niort	Europe/Paris	6854760614977
IN	Aistala	Asia/Kolkata	8906517466242
US	Massapequa	America/New_York	0630319919351
DE	Burscheid	Europe/Berlin	4067157140344
MM	Myawadi	Asia/Yangon	2656817614497
RU	Bogoroditsk	Europe/Moscow	5724155095586
BR	Alfenas	America/Sao_Paulo	2630400377532
DE	Oschatz	Europe/Berlin	0961195388383
